DateTime	ASI:airspeed	Altimeter:altitude	RC:roll	HI:heading
[State]	Standing
2019-10-14.15:18:49	109.724	2643.31	0.0489965	5.35429
2019-10-14.15:18:50	110.973	2645.31	0.0495164	5.1707
2019-10-14.15:18:51	112.218	2647.29	0.0500381	4.98958
2019-10-14.15:18:52	113.458	2649.24	0.0505388	4.81433
2019-10-14.15:18:53	114.689	2651.16	0.0509965	4.642
2019-10-14.15:18:54	115.914	2653.04	0.0514069	4.47439
2019-10-14.15:18:55	117.131	2654.89	0.0517874	4.31078
2019-10-14.15:18:56	118.343	2656.69	0.0521513	4.15167
2019-10-14.15:18:57	119.548	2658.45	0.0524985	3.99701
2019-10-14.15:18:58	120.747	2660.16	0.0528212	3.84684
2019-10-14.15:18:59	121.939	2661.82	0.0531161	3.70173
2019-10-14.15:19:00	123.119	2663.43	0.0533872	3.562
2019-10-14.15:19:01	124.285	2665	0.0536411	3.42685
2019-10-14.15:19:02	125.439	2666.52	0.0538774	3.29617
2019-10-14.15:19:03	126.579	2667.99	0.0540934	3.17015
2019-10-14.15:19:04	127.706	2669.41	0.0542895	3.04856
2019-10-14.15:19:05	128.819	2670.79	0.0544687	2.93134
2019-10-14.15:19:06	129.677	2672.53	0.0514356	5.63769
2019-10-14.15:19:07	128.392	2681.26	0.050513	7.33337
2019-10-14.15:19:08	127.374	2691.64	0.0552714	6.50193
2019-10-14.15:19:09	126.365	2701.36	0.0544823	7.5929
2019-10-14.15:19:10	124.989	2712.53	0.0508587	8.23359
2019-10-14.15:19:11	123.382	2724.67	0.0493162	8.64036
2019-10-14.15:19:12	121.779	2736.98	0.0507652	8.52057
2019-10-14.15:19:13	120.387	2748.63	0.0516735	8.22642
2019-10-14.15:19:14	119.305	2759.22	0.0508065	7.71837
2019-10-14.15:19:15	118.487	2768.68	0.0480474	7.98688
2019-10-14.15:19:16	117.515	2778.38	0.0463911	8.29362
2019-10-14.15:19:17	116.477	2788.36	0.0468562	8.43788
2019-10-14.15:19:18	115.475	2798.28	0.0477106	8.41424
2019-10-14.15:19:19	114.601	2807.83	0.0474796	8.22322
2019-10-14.15:19:20	113.868	2816.83	0.0457081	8.37018
2019-10-14.15:19:21	113.088	2825.84	0.0442226	8.49342
2019-10-14.15:19:22	112.328	2834.82	0.0441124	8.47064
2019-10-14.15:19:23	111.631	2843.56	0.0442554	8.57607
2019-10-14.15:19:24	110.937	2852.25	0.0439834	8.61447
2019-10-14.15:19:25	110.272	2860.82	0.043081	8.71215
2019-10-14.15:19:26	109.615	2869.32	0.0422098	8.7646
2019-10-14.15:19:27	108.966	2877.73	0.0416286	8.84642
2019-10-14.15:19:28	108.328	2886.06	0.0413243	8.91366
2019-10-14.15:19:29	107.701	2894.31	0.0409672	8.98325
2019-10-14.15:19:30	107.087	2902.48	0.0404086	9.05278
2019-10-14.15:19:31	106.485	2910.56	0.0397413	9.11918
2019-10-14.15:19:32	105.894	2918.55	0.0391234	9.18666
2019-10-14.15:19:33	105.316	2926.46	0.0386216	9.2519
2019-10-14.15:19:34	104.75	2934.29	0.0381696	9.31688
2019-10-14.15:19:35	104.194	2942.03	0.0376808	9.38116
2019-10-14.15:19:36	103.648	2949.7	0.0371351	9.44061
2019-10-14.15:19:37	103.115	2957.31	0.0366137	9.48795
2019-10-14.15:19:38	102.595	2964.87	0.0361149	9.53829
2019-10-14.15:19:39	102.087	2972.38	0.0356399	9.58642
2019-10-14.15:19:40	101.593	2979.84	0.035168	9.63326
2019-10-14.15:19:41	101.112	2987.24	0.0346854	9.67965
2019-10-14.15:19:42	100.643	2994.59	0.0341993	9.72436
2019-10-14.15:19:43	100.188	3001.89	0.0337194	9.7684
2019-10-14.15:19:44	99.7449	3009.15	0.0332524	9.8117
2019-10-14.15:19:45	99.3142	3016.35	0.0327976	9.85371
2019-10-14.15:19:46	98.8963	3023.5	0.032353	9.89531
2019-10-14.15:19:47	98.4915	3030.57	0.0318659	9.94802
2019-10-14.15:19:48	98.0979	3037.55	0.0313657	9.99787
[State]	Cruise
2019-10-14.15:19:49	97.7161	3044.46	0.0308792	10.0475
2019-10-14.15:19:50	97.3441	3051.28	0.0304203	10.0958
2019-10-14.15:19:51	96.9931	3058	0.030119	10.0701
2019-10-14.15:19:52	96.7119	3064.53	0.0300144	9.94211
2019-10-14.15:19:53	96.5404	3070.74	0.0299725	9.74275
2019-10-14.15:19:54	96.502	3076.55	0.0299097	9.49838
2019-10-14.15:19:55	96.6013	3081.94	0.0298278	9.24309
2019-10-14.15:19:56	96.8236	3086.94	0.0297816	9.01211
2019-10-14.15:19:57	97.1379	3091.65	0.0298113	8.83665
2019-10-14.15:19:58	97.501	3096.18	0.0299043	8.73939
2019-10-14.15:19:59	97.8647	3100.67	0.0300146	8.72346
2019-10-14.15:20:00	98.2742	3105.17	0.0309343	8.31747
2019-10-14.15:20:01	98.8416	3109.28	0.0316492	8.04063
2019-10-14.15:20:02	99.4991	3113.1	0.0320623	7.75412
2019-10-14.15:20:03	100.259	3116.6	0.0322379	7.4968
2019-10-14.15:20:04	101.093	3119.82	0.0325436	7.23261
2019-10-14.15:20:05	101.995	3122.8	0.0330632	7.00213
2019-10-14.15:20:06	102.951	3125.56	0.0337759	6.77164
2019-10-14.15:20:07	103.951	3128.13	0.0344472	6.57195
2019-10-14.15:20:08	104.984	3130.56	0.0350073	6.37295
2019-10-14.15:20:09	106.043	3132.91	0.0355331	6.1702
2019-10-14.15:20:10	107.123	3135.2	0.0360876	5.97407
2019-10-14.15:20:11	108.22	3137.44	0.036682	5.78014
2019-10-14.15:20:12	109.335	3139.63	0.0372689	5.59084
2019-10-14.15:20:13	110.466	3141.77	0.0378098	5.40433
2019-10-14.15:20:14	111.609	3143.86	0.0383001	5.22358
2019-10-14.15:20:15	112.757	3145.91	0.0387672	5.04723
2019-10-14.15:20:16	113.905	3147.91	0.0392291	4.87608
2019-10-14.15:20:17	115.05	3149.87	0.0396797	4.7091
2019-10-14.15:20:18	116.192	3151.78	0.0401022	4.54664
2019-10-14.15:20:19	117.331	3153.65	0.0404907	4.38823
2019-10-14.15:20:20	118.467	3155.47	0.0408529	4.23433
2019-10-14.15:20:21	119.599	3157.24	0.0411993	4.08472
2019-10-14.15:20:22	120.727	3158.95	0.0415318	3.93946
2019-10-14.15:20:23	121.85	3160.62	0.0418457	3.79851
2019-10-14.15:20:24	122.968	3162.24	0.0421369	3.66261
2019-10-14.15:20:25	124.074	3163.81	0.042408	3.53129
2019-10-14.15:20:26	125.168	3165.33	0.0426629	3.40448
2019-10-14.15:20:27	126.251	3166.81	0.0429022	3.28174
2019-10-14.15:20:28	127.323	3168.24	0.0431244	3.16327
2019-10-14.15:20:29	128.382	3169.62	0.0433296	3.04891
2019-10-14.15:20:30	129.428	3170.95	0.0435198	2.93853
2019-10-14.15:20:31	130.462	3172.24	0.0436965	2.83207
2019-10-14.15:20:32	131.483	3173.49	0.04386	2.72943
2019-10-14.15:20:33	132.491	3174.69	0.0440104	2.63048
2019-10-14.15:20:34	133.485	3175.85	0.0441481	2.53513
2019-10-14.15:20:35	134.464	3176.96	0.044274	2.44336
2019-10-14.15:20:36	135.427	3178.04	0.044388	2.35569
2019-10-14.15:20:37	136.37	3179.08	0.0444912	2.27126
2019-10-14.15:20:38	137.295	3180.08	0.0445832	2.19
2019-10-14.15:20:39	138.202	3181.05	0.0446639	2.11197
2019-10-14.15:20:40	139.089	3181.98	0.0447386	2.03659
2019-10-14.15:20:41	139.954	3182.87	0.0448019	1.96461
2019-10-14.15:20:42	140.798	3183.73	0.0448544	1.89537
2019-10-14.15:20:43	141.621	3184.55	0.0448968	1.82908
2019-10-14.15:20:44	142.424	3185.34	0.0449304	1.76564
2019-10-14.15:20:45	143.207	3186.1	0.0449564	1.70481
2019-10-14.15:20:46	144.321	3185.83	0.0465641	-0.962454
2019-10-14.15:20:47	146.627	3179.85	0.0466283	-0.884667
2019-10-14.15:20:48	148.365	3174.83	0.0446618	-0.843324
2019-10-14.15:20:49	150.4	3169.04	0.0455129	-1.98491
2019-10-14.15:20:50	152.583	3161.58	0.046588	-1.4272
2019-10-14.15:20:51	154.25	3155.73	0.045604	-0.743833
2019-10-14.15:20:52	155.768	3150.79	0.0460292	-1.50146
2019-10-14.15:20:53	157.506	3144.47	0.0470807	-1.95929
2019-10-14.15:20:54	159.291	3137.27	0.0467771	-1.83154
2019-10-14.15:20:55	160.81	3130.75	0.0459072	-1.43834
2019-10-14.15:20:56	161.987	3125.54	0.0461448	-0.985078
2019-10-14.15:20:57	163.089	3120.86	0.047151	-1.5324
2019-10-14.15:20:58	164.344	3115.09	0.0471731	-1.87683
2019-10-14.15:20:59	165.695	3108.48	0.0466124	-2.12681
2019-10-14.15:21:00	166.994	3101.6	0.0464256	-1.89904
2019-10-14.15:21:01	168.073	3095.45	0.0465461	-1.60002
2019-10-14.15:21:02	168.902	3090.3	0.0464682	-1.22241
2019-10-14.15:21:03	169.584	3085.95	0.0466401	-1.50431
2019-10-14.15:21:04	170.412	3080.79	0.0468591	-1.8178
2019-10-14.15:21:05	171.346	3074.77	0.0466371	-2.07827
2019-10-14.15:21:06	172.342	3068.11	0.0463614	-2.12497
2019-10-14.15:21:07	173.21	3061.65	0.0462105	-1.892
2019-10-14.15:21:08	173.893	3055.96	0.046164	-1.61506
2019-10-14.15:21:09	174.373	3051.18	0.0460616	-1.29409
2019-10-14.15:21:10	174.768	3046.96	0.0462286	-1.58994
2019-10-14.15:21:11	175.3	3041.94	0.0462972	-1.86777
2019-10-14.15:21:12	175.943	3036.11	0.0460298	-2.11231
2019-10-14.15:21:13	176.665	3029.63	0.0458373	-2.20608
2019-10-14.15:21:14	177.3	3023.23	0.0456427	-1.97547
2019-10-14.15:21:15	177.775	3017.54	0.0455165	-1.73059
2019-10-14.15:21:16	178.08	3012.67	0.0454303	-1.45618
2019-10-14.15:21:17	178.249	3008.55	0.0454574	-1.53886
2019-10-14.15:21:18	178.525	3003.93	0.0455425	-1.80277
2019-10-14.15:21:19	178.919	2998.53	0.0453298	-2.04669
2019-10-14.15:21:20	179.416	2992.41	0.0451257	-2.26323
2019-10-14.15:21:21	179.933	2985.9	0.0449338	-2.10604
2019-10-14.15:21:22	180.308	2979.96	0.0447149	-1.88804
2019-10-14.15:21:23	180.537	2974.75	0.0446349	-1.6447
2019-10-14.15:21:24	180.614	2970.34	0.0445205	-1.39648
2019-10-14.15:21:25	180.668	2966.23	0.0446034	-1.67793
2019-10-14.15:21:26	180.854	2961.36	0.0445519	-1.92032
2019-10-14.15:21:27	181.157	2955.76	0.0443034	-2.15007
