DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-14.14:46:36	84.292	2335.88	-29.288	15.0221
2019-10-14.14:46:37	86.0777	2334.31	-29.3193	12.3275
2019-10-14.14:46:38	87.8262	2333.52	-29.3328	9.95135
2019-10-14.14:46:39	89.0367	2333.84	-29.3071	9.41596
2019-10-14.14:46:40	89.9846	2335.22	-29.2651	10.3935
2019-10-14.14:46:41	90.8391	2337.48	-29.2377	12.0779
2019-10-14.14:46:42	91.4169	2340.51	-29.2455	13.0478
2019-10-14.14:46:43	91.8472	2344	-29.2701	12.8008
2019-10-14.14:46:44	92.319	2347.63	-29.287	11.914
2019-10-14.14:46:45	92.8665	2351.28	-29.2879	11.2131
2019-10-14.14:46:46	93.4192	2355.01	-29.2768	11.0389
2019-10-14.14:46:47	93.948	2358.84	-28.872	11.2276
2019-10-14.14:46:48	94.4056	2362.93	-24.1408	11.3711
2019-10-14.14:46:49	94.7854	2367.68	-19.1652	10.9474
2019-10-14.14:46:50	95.0655	2372.93	-13.9725	10.7332
2019-10-14.14:46:51	95.3149	2378.49	-8.36277	10.6477
2019-10-14.14:46:52	95.6494	2384.02	-2.23499	10.6265
2019-10-14.14:46:53	96.1021	2389.32	1.20282	10.517
2019-10-14.14:46:54	96.7513	2394.33	-0.621528	9.98963
2019-10-14.14:46:55	97.6288	2398.93	-2.17844	9.71586
2019-10-14.14:46:56	98.546	2403.24	-1.71881	9.32063
2019-10-14.14:46:57	99.6658	2407.23	0.319683	8.83668
2019-10-14.14:46:58	100.811	2410.92	1.83416	8.65157
2019-10-14.14:46:59	101.949	2414.5	1.26762	8.32281
2019-10-14.14:47:00	103.257	2417.98	-0.708536	7.92546
2019-10-14.14:47:01	104.643	2421.31	-1.87215	7.69528
2019-10-14.14:47:02	106.035	2424.56	-0.941563	7.32675
2019-10-14.14:47:03	107.573	2427.53	0.94874	7.00544
2019-10-14.14:47:04	109.026	2430.31	1.59955	6.93248
2019-10-14.14:47:05	110.502	2433.07	0.325293	6.62635
2019-10-14.14:47:06	112.102	2435.66	-1.24562	6.41939
2019-10-14.14:47:07	113.652	2438.19	-1.18217	6.19713
2019-10-14.14:47:08	115.294	2440.62	0.303389	5.89092
2019-10-14.14:47:09	116.875	2442.95	1.23118	5.77305
2019-10-14.14:47:10	118.413	2445.32	0.464768	5.53968
2019-10-14.14:47:11	120.04	2447.63	-0.847131	5.32585
2019-10-14.14:47:12	121.613	2449.9	-0.914928	5.13887
2019-10-14.14:47:13	123.246	2452.07	0.208775	4.89663
2019-10-14.14:47:14	124.816	2454.15	0.852861	4.77201
2019-10-14.14:47:15	126.362	2456.23	0.17935	4.57742
2019-10-14.14:47:16	127.96	2458.23	-0.697749	4.40907
2019-10-14.14:47:17	129.51	2460.18	-0.496608	4.22739
2019-10-14.14:47:18	131.097	2462.02	0.332714	4.06848
2019-10-14.14:47:19	132.609	2463.82	0.474461	3.93181
2019-10-14.14:47:20	134.142	2465.57	-0.182491	3.77638
2019-10-14.14:47:21	135.669	2467.24	-0.514984	3.64684
2019-10-14.14:47:22	137.185	2468.86	-0.0679307	3.48878
2019-10-14.14:47:23	138.666	2470.39	0.325297	3.38003
2019-10-14.14:47:24	140.107	2471.89	0.0492611	3.25377
2019-10-14.14:47:25	141.554	2473.33	-0.334916	3.13639
2019-10-14.14:47:26	142.963	2474.7	-0.185673	3.01351
2019-10-14.14:47:27	144.354	2476.01	0.146201	2.91647
2019-10-14.14:47:28	145.693	2477.27	0.0707451	2.81444
2019-10-14.14:47:29	147.031	2478.48	-0.205696	2.7139
