DateTime	AltitudeTape:altitude	AirspeedTape:airspeed	HeadingIndicator:heading	AttitudeIndicator:roll
[State]	Standing
2019-10-11.17:00:55	87.5113	2435.02	0.034402	11.5404
2019-10-11.17:00:56	87.5176	2439.85	0.0342951	11.5383
2019-10-11.17:00:57	87.5242	2444.67	0.0341888	11.5358
2019-10-11.17:00:58	87.5313	2449.48	0.0340831	11.5332
2019-10-11.17:00:59	87.5389	2454.3	0.033978	11.5306
2019-10-11.17:01:00	87.5468	2459.11	0.0338735	11.528
2019-10-11.17:01:01	87.5551	2463.92	0.0337693	11.5258
2019-10-11.17:01:02	87.5633	2468.73	0.0336656	11.5239
2019-10-11.17:01:03	87.5715	2473.53	0.033562	11.5224
2019-10-11.17:01:04	87.5793	2478.34	0.0334586	11.5212
2019-10-11.17:01:05	87.5867	2483.14	0.0333553	11.5202
2019-10-11.17:01:06	87.5937	2487.94	0.0332521	11.5193
2019-10-11.17:01:07	87.6002	2492.75	0.033149	11.5183
2019-10-11.17:01:08	87.6065	2497.55	0.0330462	11.517
2019-10-11.17:01:09	87.6127	2502.35	0.0329437	11.5154
2019-10-11.17:01:10	87.619	2507.15	0.0328416	11.5134
2019-10-11.17:01:11	87.6255	2511.94	0.0327401	11.5111
2019-10-11.17:01:12	87.6325	2516.73	0.0326391	11.5086
2019-10-11.17:01:13	87.6399	2521.52	0.0325387	11.5061
2019-10-11.17:01:14	87.6476	2526.31	0.0324387	11.5036
2019-10-11.17:01:15	87.6557	2531.1	0.0323393	11.5013
2019-10-11.17:01:16	87.6638	2535.88	0.0322401	11.4994
2019-10-11.17:01:17	87.6719	2540.66	0.0321412	11.4978
2019-10-11.17:01:18	87.6797	2545.44	0.0320425	11.4965
2019-10-11.17:01:19	87.6872	2550.22	0.031944	11.4954
2019-10-11.17:01:20	87.6942	2555	0.0318455	11.4943
2019-10-11.17:01:21	87.7009	2559.77	0.0317471	11.4933
2019-10-11.17:01:22	87.7073	2564.55	0.031649	11.492
2019-10-11.17:01:23	87.7136	2569.33	0.0315512	11.4905
2019-10-11.17:01:24	87.7199	2574.1	0.0314537	11.4886
2019-10-11.17:01:25	87.7438	2578.86	0.031768	11.2908
2019-10-11.17:01:26	87.9051	2583.36	0.0326243	10.891
2019-10-11.17:01:27	88.2143	2587.47	0.0330777	10.6088
[State]	Cruise
2019-10-11.17:01:28	88.6454	2591.27	0.0333836	10.2914
2019-10-11.17:01:29	89.1867	2594.78	0.0336669	9.9982
2019-10-11.17:01:30	89.8202	2598.07	0.0341918	9.7095
2019-10-11.17:01:31	90.5331	2601.18	0.035018	9.42988
2019-10-11.17:01:32	91.3151	2604.15	0.0360373	9.15465
2019-10-11.17:01:33	92.1592	2607.01	0.0370697	8.88338
2019-10-11.17:01:34	93.0595	2609.77	0.038005	8.61466
2019-10-11.17:01:35	94.0069	2612.47	0.0388416	8.35055
2019-10-11.17:01:36	94.9958	2615.11	0.0396804	8.08341
